,area_name,GRDP,area_id
0,Miasto Kraków,18127.1,213
1,Krakowski,7740.73,214
2,Tarnowski,4036.36,217
3,Nowosądecki,4791.43,218
4,Nowotarski,2762.39,219
5,Oświęcimski,5624.33,21A
6,Częstochowski,6258.67,224
7,Bielski,9452.34,225
8,Rybnicki,7702.08,227
9,Bytomski,4445.67,228
10,Gliwicki,7775.68,229
11,Katowicki,13651.26,22A
12,Sosnowiecki,8630.03,22B
13,Tyski,6441.87,22C
14,Pilski,4218.78,411
15,Koniński,7250.15,414
16,Miasto Poznań,14979.24,415
17,Kaliski,8275.79,416
18,Leszczyński,6910.22,417
19,Poznański,11071.54,418
20,Miasto Szczecin,6604.7,424
21,Koszaliński,3992.95,426
22,Szczecinecko-pyrzycki,3444.12,427
23,Szczeciński,5551.52,428
24,Gorzowski,4284.7,431
25,Zielonogórski,7116.19,432
26,Miasto Wrocław,15573.34,514
27,Jeleniogórski,5908.14,515
28,Legnicko-głogowski,7730.94,516
29,Wałbrzyski,6437.37,517
30,Wrocławski,8321.86,518
31,Nyski,3066.85,523
32,Opolski,7729.08,524
33,Bydgosko-toruński,10789.85,613
34,Grudziądzki,3617.0,616
35,Inowrocławski,3246.09,617
36,Świecki,2021.36,618
37,Włocławski,3222.53,619
38,Elbląski,4777.66,621
39,Olsztyński,6544.07,622
40,Ełcki,2219.66,623
41,Trójmiejski,15609.61,633
42,Gdański,5986.51,634
43,Słupski,3435.65,636
44,Chojnicki,1994.35,637
45,Starogardzki,4518.21,638
46,Miasto Łódź,12294.68,711
47,Łódzki,4482.73,712
48,Piotrkowski,7554.62,713
49,Sieradzki,4244.46,714
50,Skierniewicki,3545.25,715
51,Kielecki,8151.09,721
52,Sandomiersko-jędrzejowski,4119.23,722
53,Bialski,2473.82,811
54,Chełmsko-zamojski,4481.94,812
55,Lubelski,9029.0,814
56,Puławski,4063.63,815
57,Krośnieński,3849.72,821
58,Przemyski,2802.1,822
59,Rzeszowski,7883.17,823
60,Tarnobrzeski,6283.03,824
61,Białostocki,5881.4,841
62,Łomżyński,3602.97,842
63,Suwalski,2336.68,843
64,Miasto Warszawa,73143.29,911
65,Warszawski wschodni,7498.75,912
66,Warszawski zachodni,12783.67,913
67,Radomski,5931.17,921
68,Ciechanowski,3619.65,922
69,Płocki,7160.67,923
70,Ostrołęcki,3915.11,924
71,Siedlecki,4443.02,925
72,Żyrardowski,3040.11,926
