DATAFLOW,LAST UPDATE,freq,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ010,2019,1308632,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ020,2019,1369332,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ031,2019,642133,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ032,2019,584672,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ041,2019,294896,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ042,2019,820789,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ051,2019,442356,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ052,2019,551021,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ053,2019,520316,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ063,2019,509274,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ064,2019,1187667,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ071,2019,632492,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ072,2019,582921,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,CZ080,2019,1203299,
