area_id,score,ground_truth
11110,85.531,426.443
11140,149.05,1206.633
11170,154.128,177.356
11200,150.0,1534.796
11215,317.731,239.093
11230,427.0,446.807
11260,760.0,316.935
11290,255.561,136.232
11305,200.0,95.32
11320,200.0,90.077
11350,480.0,142.22
11380,260.0,79.336
11410,180.887,81.604
11440,432.43,284.942
11470,886.34,192.162
11500,1500.0,486.228
11530,579.0,1281.144
11545,370.0,2976.127
11560,800.0,849.965
11590,500.0,39.01
11620,260.0,125.103
11650,1200.0,643.944
11680,2100.0,2746.431
11710,2400.0,939.283
11740,500.0,145.994
26110,50.0,17.084
26140,108.0,140.892
26230,1200.0,104.494
26260,800.0,45.538
26290,1600.0,881.777
26320,400.0,62.331
26350,1150.0,544.613
26380,700.0,2052.69
26410,293.323,347.866
26440,2923.5,6541.714
26470,672.8,80.999
26500,550.0,22.497
26530,660.0,1980.352
26710,614.0,1462.825
27110,108.4,119.863
27140,1457.97,408.562
27170,150.0,751.251
27200,229.0,45.263
27230,2000.0,1785.448
27260,1800.0,92.396
27290,2000.0,3905.686
27710,1700.0,4228.78
28110,4000.0,1844.001
28140,1000.0,2352.372
28177,1000.0,877.988
28185,2500.0,2945.957
28200,1600.0,5815.997
28237,1500.0,2271.032
28245,500.0,806.642
28260,3182.25,6468.996
28710,210.0,226.346
28720,50.0,4.707
29110,225.0,49.539
29140,1000.0,1985.1
29155,425.0,44.001
29170,1900.0,1926.718
29200,2300.0,6735.035
30110,350.0,277.858
30140,350.0,121.91
30170,1300.0,152.12
30200,2400.0,2544.622
30230,400.0,3918.889
31110,1000.0,77.209
31140,3336.37,14929.783
31170,1300.0,3011.132
31200,2000.0,8032.867
31710,3200.0,13071.016
36110,2424.92,2936.903
41110,5500.0,5275.355
41130,3619.78,4271.509
41150,1328.0,250.308
41170,1400.0,3140.164
41190,3000.0,4293.426
41210,1000.0,1935.902
41220,7164.0,16215.334
41250,300.0,285.467
41270,3593.0,12566.358
41280,5000.0,1783.402
41290,225.0,18.658
41310,150.0,163.649
41360,2648.0,2010.688
41370,800.0,2029.712
41390,3456.466,8070.94
41410,616.0,2402.693
41430,591.626,673.649
41450,1544.0,771.795
41460,5000.0,9370.905
41480,3000.0,11398.958
41500,1200.0,16113.621
41550,1200.0,4568.215
41570,3400.0,6078.228
41590,8000.0,57012.596
41610,2500.0,3468.5
41630,1516.88,2172.171
41650,1200.0,2556.677
41670,950.0,886.884
41800,85.0,205.149
41820,95.0,73.237
41830,945.0,69.145
42110,1922.0,500.46
42130,2400.0,1491.141
42150,1600.0,433.356
42170,402.786,549.053
42190,60.0,53.437
42210,400.0,62.431
42230,90.0,186.418
42720,115.0,277.378
42730,85.0,431.097
42750,75.0,170.289
42760,308.3,68.858
42770,82.046,63.242
42790,70.0,15.175
42800,110.0,18.356
42810,75.0,36.021
42820,100.0,43.022
42830,74.0,41.074
43110,5787.0,18139.273
43130,1200.0,2605.64
43150,120.0,797.984
43720,130.0,299.63
43730,160.0,419.704
43740,75.0,173.111
43745,150.0,527.054
43750,500.0,5032.893
43760,138.0,286.258
43770,584.87,5258.047
43800,82.11,379.001
44130,3500.0,13107.657
44150,245.635,1119.943
44180,220.0,411.505
44200,2500.0,22962.37
44210,2400.0,10687.192
44250,120.0,84.486
44270,2000.0,7007.203
44710,163.0,870.473
44760,150.0,334.426
44770,117.9,543.969
44790,110.0,336.18
44800,395.0,440.063
44810,500.0,1247.026
44825,291.4,60.881
45110,3200.0,1303.888
45130,2600.0,3596.335
45140,1300.0,2474.208
45180,380.48,951.82
45190,450.0,171.633
45210,400.0,846.041
45710,300.0,2213.513
45720,75.0,39.416
45730,65.0,38.874
45740,60.0,35.483
45770,106.857,96.742
45790,200.0,156.196
45800,130.0,151.6
46110,600.0,205.233
46130,4000.0,16020.443
46150,1478.096,959.967
46170,1378.388,913.517
46230,2200.0,6277.818
46710,190.0,345.969
46720,208.3,386.229
46730,80.0,29.911
46770,70.0,128.524
46780,161.356,54.82
46790,100.0,280.038
46800,100.0,98.2
46810,130.0,69.174
46820,90.0,261.744
46830,418.0,1244.804
46840,591.752,138.737
46860,150.0,179.934
46870,175.0,133.27
46880,190.0,571.56
46890,130.0,58.487
46900,120.0,32.165
46910,94.839,43.221
47110,5000.0,10571.254
47130,2551.63,4848.555
47150,1100.0,1931.121
47170,500.0,555.874
47190,3000.0,17608.896
47210,295.67,1231.881
47230,300.0,1837.59
47250,395.0,310.739
47280,115.0,316.745
47290,2000.0,2850.717
47720,91.898,176.623
47730,220.0,146.935
47750,100.0,18.951
47760,43.42,16.663
47770,100.0,44.309
47820,350.26,156.13
47830,120.0,774.037
47840,160.0,904.921
47850,638.0,1962.932
47900,160.0,60.484
47920,75.0,410.286
47930,90.0,28.408
47940,21.91,10.025
48120,5000.0,15230.879
48170,2400.0,875.325
48220,356.086,121.395
48240,900.0,1906.59
48250,3400.0,6255.892
48270,422.5,744.679
48310,786.0,4615.458
48330,2500.0,4311.67
48720,80.0,201.104
48730,800.0,2040.772
48740,180.0,1089.919
48820,140.0,423.561
48840,120.0,32.366
48850,100.0,62.588
48860,95.0,94.489
48870,110.0,115.569
48880,120.0,240.389
48890,65.0,62.776
50110,1500.0,601.374
50130,1000.0,125.483
